school.name,2015.cost.avg_net_price.overall,2015.student.undergrads_with_pell_grant_or_federal_student_loan
Germanna Community College,7036.0,7282
Tidewater Community College,7126.0,27646
Marshall University,9508.0,9536
University of Washington-Seattle Campus,12947.0,30672
Madison Area Technical College,10595.0,16698
Western Washington University,15957.0,14152
Spokane Falls Community College,7016.0,5970
Spokane Community College,5265.0,9974
Clark College,8003.0,10911
Inter American University of Puerto Rico-Metro,9984.0,7016
Pontifical Catholic University of Puerto Rico-Ponce,5659.0,5865
Instituto de Banca y Comercio Inc,6102.0,19942
University of Wyoming,11813.0,10124
University of Wisconsin-Platteville,15419.0,8047
University of Wisconsin-La Crosse,15292.0,9820
University of Wisconsin-Green Bay,14102.0,6674
University of Wisconsin-Eau Claire,15403.0,10196
University of Puerto Rico-Mayaguez,6441.0,11133
Harrisburg Area Community College-Harrisburg,10417.0,20230
Indiana University of Pennsylvania-Main Campus,18221.0,12295
Lehigh Carbon Community College,5960.0,6779
Purdue University-Main Campus,13516.0,30237
Chandler-Gilbert Community College,8302.0,14500
DePaul University,28434.0,16153
Columbia College Chicago,29589.0,9003
College of DuPage,7163.0,29476
Idaho State University,16257.0,11540
City Colleges of Chicago-Harold Washington College,9271.0,9392
Florida State University,15664.0,32948
University of North Florida,13621.0,14121
Keiser University-Ft Lauderdale,28870.0,17737
Pasco-Hernando State College,5796.0,11263
Boise State University,13718.0,19351
Valdosta State University,13990.0,9328
University of West Georgia,15365.0,10249
Georgia College and State University,17283.0,5927
Kapiolani Community College,5076.0,7994
Leeward Community College,2214.0,7742
Hillsborough Community College,5831.0,27298
Seminole State College of Florida,8654.0,18399
The University of Tampa,27580.0,6823
Joliet Junior College,4584.0,15776
College of Lake County,4613.0,15410
Northwestern University,28155.0,9048
Savannah College of Art and Design,36902.0,9092
Gwinnett Technical College,8273.0,7234
Rasmussen College-Florida,17213.0,6309
Full Sail University,35654.0,17318
Emory University,25941.0,6880
Chattahoochee Technical College,2186.0,9942
Vincennes University,11245.0,19205
Kirkwood Community College,10140.0,14190
Iowa State University,13997.0,28893
Ashford University,16870.0,45348
University of Southern Indiana,11990.0,8414
Ball State University,15201.0,16415
Illinois State University,20437.0,18155
Parkland College,7821.0,8443
Indiana University-South Bend,10035.0,7293
Kansas State University,17401.0,20327
Johnson County Community College,7421.0,19429
University of Northern Iowa,15961.0,10142
University of New Orleans,8891.0,7152
Louisiana State University and Agricultural & Mechanical College,11355.0,25572
Northwestern State University of Louisiana,9966.0,7898
University of Southern Maine,16528.0,6628
University of Maine,15955.0,9339
Southern Maine Community College,11517.0,6734
Tulane University of Louisiana,32475.0,7892
Southeastern Louisiana University,10254.0,13365
University of Louisiana at Lafayette,9459.0,15574
Howard Community College,7164.0,9920
Lansing Community College,7092.0,16031
Ferris State University,13306.0,13357
University of Michigan-Ann Arbor,14521.0,28395
Towson University,17516.0,18807
University of Maryland-Baltimore County,18827.0,11379
Morgan State University,16225.0,6302
Bridgewater State University,18745.0,9628
Bunker Hill Community College,7006.0,14253
College of Southern Maryland,8912.0,8411
Davenport University,16512.0,6648
Middlesex Community College,4565.0,9205
Delta College,3929.0,9842
Northeastern University,28869.0,13510
Quinsigamond Community College,7157.0,8452
Harvard University,17882.0,10338
Michigan State University,16788.0,38786
Northern Michigan University,12468.0,8001
Michigan Technological University,15237.0,5658
Tufts University,29565.0,5177
Washtenaw Community College,4090.0,12295
University of Mississippi,14284.0,18101
Mississippi Gulf Coast Community College,5910.0,9793
University of Nebraska-Lincoln,16705.0,19979
Brookdale Community College,6912.0,14144
Montclair State University,22377.0,15885
New Jersey City University,8887.0,6229
Hudson County Community College,7949.0,9203
College of Southern Nevada,8492.0,35943
University of Nevada-Reno,14568.0,16839
Southern New Hampshire University,35118.0,29353
Stockton University,19244.0,7714
Ramapo College of New Jersey,22013.0,5163
Seton Hall University,27199.0,5817
Rowan University,22383.0,12022
University of New Mexico-Main Campus,9027.0,21792
Mercy College,16682.0,7939
CUNY Borough of Manhattan Community College,7986.0,26606
Hofstra University,31194.0,6904
CUNY Lehman College,5465.0,10326
CUNY York College,5742.0,8438
Fordham University,34042.0,8633
San Juan College,5216.0,8323
Cornell University,29711.0,14269
Rockland Community College,9146.0,7521
Indiana Institute of Technology,23834.0,6541
Bluegrass Community and Technical College,6487.0,10952
University of Notre Dame,29727.0,8448
Southern Illinois University-Carbondale,16048.0,13461
Metropolitan State University,15344.0,7595
Montana State University,16809.0,13298
University of St Thomas,28374.0,6234
Hinds Community College,4902.0,12021
University of Minnesota-Twin Cities,17015.0,34351
Northwest Missouri State University,10154.0,5491
Saint Louis University,31005.0,12374
Missouri University of Science and Technology,14096.0,6520
Stony Brook University,13717.0,16480
SUNY at Albany,16126.0,12929
SUNY Oneonta,17829.0,5836
Universidad del Turabo,9215.0,14596
California State University-Sacramento,8710.0,26739
California State University-Long Beach,9163.0,31643
Arkansas State University-Main Campus,12152.0,9857
California State University-Los Angeles,3227.0,20681
University of Arkansas at Little Rock,12218.0,9384
California State University-Dominguez Hills,3537.0,12682
University of California-Irvine,13648.0,24489
University of California-Los Angeles,13328.0,29633
Troy University,11551.0,15114
University of Alaska Anchorage,9028.0,16291
Jefferson State Community College,9674.0,8516
University of North Alabama,11438.0,5885
Grand Canyon University,28469.0,39400
Arizona Western College,8959.0,7702
Yavapai College,6531.0,7842
Arkansas Tech University,10303.0,11099
California Polytechnic State University-San Luis Obispo,17661.0,19246
Fullerton College,5722.0,25055
Cypress College,7575.0,16124
El Camino Community College District,8705.0,24207
Cuesta College,9233.0,9234
El Camino College-Compton Center,7520.0,7611
Contra Costa College,6965.0,6704
Gavilan College,4676.0,5531
Crafton Hills College,10340.0,5932
Citrus College,3540.0,12805
Chabot College,5078.0,13318
Chaffey College,8576.0,19557
Coastline Community College,8278.0,11410
Arizona State University-Tempe,11337.0,39961
Florida International University,12427.0,41009
Palm Beach State College,2332.0,28517
Miami Dade College,8849.0,66046
University of Florida,12022.0,32829
Indian River State College,2447.0,17665
University of Miami,32746.0,11175
Purdue University-Calumet Campus,11207.0,8491
Indiana University-Purdue University-Indianapolis,12861.0,22525
Indiana University-Purdue University-Fort Wayne,14961.0,12674
Indiana University-Bloomington,15349.0,36419
Southern Illinois University-Edwardsville,16712.0,11421
Indiana State University,12143.0,10881
Indiana University-Southeast,11534.0,5989
William Rainey Harper College,8023.0,14957
Waubonsee Community College,5483.0,10904
Northeastern Illinois University,15591.0,8412
Loyola University Chicago,31149.0,10322
Rock Valley College,6744.0,7737
Fort Hays State University,11872.0,11643
Orange Coast College,9462.0,21801
Humboldt State University,13148.0,7983
Shasta College,5650.0,8342
College of the Sequoias,444.0,10648
University of San Diego,33865.0,5741
San Diego Mesa College,6132.0,24159
Reedley College,3015.0,14635
Colorado Mesa University,16507.0,9003
University of Colorado Colorado Springs,14649.0,9629
University of Denver,28839.0,5643
University of Colorado Denver/Anschutz Medical Campus,14519.0,13509
Sierra College,6999.0,18565
Ventura College,2572.0,12928
West Los Angeles College,6314.0,10780
Berkeley City College,7198.0,6378
National University,24118.0,9721
Los Angeles Harbor College,9565.0,10273
Monterey Peninsula College,5594.0,7727
Mission College,8558.0,8435
Napa Valley College,9752.0,6356
Red Rocks Community College,8203.0,8112
Skyline College,3043.0,9820
Los Angeles Mission College,8014.0,10227
Los Angeles Southwest College,6418.0,6942
Imperial Valley College,2920.0,7792
Ohlone College,9564.0,11318
Southern Connecticut State University,15240.0,8133
Tallahassee Community College,4987.0,13049
Saint Leo University,20054.0,12581
Georgia Southern University,16963.0,18029
University of Georgia,12023.0,26882
Georgia Highlands College,6805.0,5358
Georgia Institute of Technology-Main Campus,11574.0,14682
West Georgia Technical College,3804.0,6536
Clayton  State University,11397.0,6632
Darton State College,7783.0,5623
University of Hawaii at Manoa,13441.0,14126
University of Delaware,15992.0,17458
George Washington University,33637.0,10433
Wilmington University,15586.0,8810
Eastern Illinois University,16174.0,7640
University of Chicago,25883.0,5738
University of Illinois at Chicago,13527.0,16718
Eastern Kentucky University,11647.0,13977
University of Kentucky,16298.0,22223
University of Louisville,15782.0,15961
University of Kansas,18755.0,19343
Pittsburg State University,13002.0,6270
University of Massachusetts-Amherst,18869.0,22252
University of Massachusetts-Lowell,18005.0,12983
Massasoit Community College,7900.0,7905
North Shore Community College,8059.0,7412
Springfield Technical Community College,8184.0,6622
University of Massachusetts-Dartmouth,16517.0,7185
Salem State University,16884.0,7600
Berklee College of Music,48310.0,4743
Bristol Community College,6744.0,9189
Baker College,12875.0,27101
Mott Community College,6410.0,8937
University of Maryland-College Park,15634.0,27056
Western Kentucky University,10948.0,17452
Harford Community College,3321.0,6714
Johns Hopkins University,34455.0,6357
University of Louisiana at Monroe,7859.0,7215
Southern University and A & M College,12666.0,5388
Bossier Parish Community College,8648.0,8580
McNeese State University,9485.0,7484
Louisiana Tech University,9233.0,9545
Salisbury University,18408.0,7997
Morehead State University,11870.0,9951
Northern Kentucky University,8966.0,12809
Somerset Community College,5377.0,6995
Eastern Michigan University,12675.0,18340
Henry Ford College,4200.0,13790
Kalamazoo Valley Community College,4182.0,9489
University of Michigan-Flint,14223.0,7078
University of Michigan-Dearborn,12220.0,7171
Wayne State University,13258.0,18347
Western Michigan University,16870.0,18889
Saginaw Valley State University,14579.0,8930
Anoka-Ramsey Community College,11703.0,7877
Saint Cloud State University,13786.0,14377
Mississippi State University,16035.0,16536
North Hennepin Community College,10738.0,7384
Jackson State University,13142.0,7199
Holmes Community College,4956.0,5797
Winona State University,17393.0,8111
Saint Paul College,12928.0,6600
College of Staten Island CUNY,9428.0,13343
CUNY Hunter College,7742.0,16879
CUNY John Jay College of Criminal Justice,5294.0,13305
CUNY Kingsborough Community College,6527.0,17757
CUNY Brooklyn College,6451.0,14115
CUNY City College,6002.0,12893
CUNY Bronx Community College,7986.0,11506
Onondaga Community College,8639.0,12271
Monroe Community College,6867.0,15335
Rochester Institute of Technology,26410.0,13460
Rutgers University-New Brunswick,19924.0,36016
New Mexico State University-Main Campus,9663.0,12784
Raritan Valley Community College,6545.0,8214
CUNY New York City College of Technology,6084.0,17374
CUNY Queensborough Community College,6862.0,16182
CUNY LaGuardia Community College,8209.0,20231
CUNY Medgar Evers College,9354.0,6701
Fashion Institute of Technology,12999.0,9567
SUNY College at Oswego,16314.0,7193
SUNY College at Plattsburgh,15334.0,5565
State University of New York at New Paltz,16599.0,6642
Marist College,33030.0,5516
Ithaca College,33759.0,6124
Thomas Edison State University,,18683
Princeton University,8848.0,5391
Touro College,15985.0,6485
Appalachian State University,14686.0,16255
SUNY Westchester Community College,5821.0,13916
Cape Fear Community College,9274.0,9056
SUNY Empire State College,13898.0,10873
Syracuse University,30135.0,15224
Kent State University at Kent,18978.0,22319
Miami University-Oxford,22011.0,15813
Cuyahoga Community College District,4836.0,27104
Lakeland Community College,8357.0,8250
University of North Dakota,16400.0,11537
Wake Technical Community College,9505.0,21384
Western Carolina University,13516.0,8787
University of North Carolina at Pembroke,11458.0,5511
University of North Carolina at Charlotte,11571.0,22216
Cincinnati State Technical and Community College,6499.0,10707
Case Western Reserve University,27949.0,4911
Fayetteville Technical Community College,4412.0,12103
Guilford Technical Community College,12247.0,12363
Fayetteville State University,4927.0,5247
Ohio State University-Main Campus,18099.0,44741
Ohio University-Main Campus,20826.0,23571
University of Toledo,14839.0,16115
Youngstown State University,11691.0,11267
Stark State College,6675.0,14097
Oklahoma State University-Main Campus,13894.0,20952
University of Oregon,15769.0,20559
Central Oregon Community College,9764.0,6312
Mt Hood Community College,7832.0,9276
Chemeketa Community College,7228.0,11101
Trident Technical College,7701.0,16136
Midlands Technical College,5366.0,11424
Greenville Technical College,7498.0,12592
Coastal Carolina University,14955.0,9364
Montgomery County Community College,8679.0,12805
University of Pennsylvania,25225.0,11548
Community College of Rhode Island,7051.0,17553
University of Rhode Island,19177.0,13589
Rhode Island College,9613.0,7518
Villanova University,36563.0,7118
Florence-Darlington Technical College,4718.0,6215
Chattanooga State Community College,8060.0,9463
University of South Dakota,16396.0,7541
Minneapolis Community and Technical College,13059.0,9237
Minnesota State University-Mankato,15178.0,13395
Minnesota State University Moorhead,15240.0,5731
Hennepin Technical College,13965.0,5985
University of Central Missouri,14794.0,9838
Lindenwood University,22125.0,8541
Columbia College,11549.0,15639
Saint Louis Community College,7101.0,21218
Southeast Missouri State University,12294.0,10848
Washington University in St Louis,32873.0,7401
University of Nebraska at Omaha,12505.0,12221
The University of Montana,12679.0,11692
Southeast Community College Area,8271.0,9392
Metropolitan Community College Area,6367.0,14675
University of Missouri-Columbia,16902.0,27642
University of Missouri-St Louis,10017.0,13874
University of Missouri-Kansas City,14418.0,10453
Park University,15936.0,12599
Truckee Meadows Community College,8667.0,11106
University of Nevada-Las Vegas,10915.0,23803
County College of Morris,7969.0,8096
Delaware County Community College,7945.0,12459
Kutztown University of Pennsylvania,19510.0,8562
Carnegie Mellon University,34857.0,5888
Duquesne University,27412.0,5995
University of Memphis,13353.0,17071
Middle Tennessee State University,11381.0,20262
East Tennessee State University,15245.0,11550
Pellissippi State Community College,7574.0,10273
Texas A & M University-Corpus Christi,14361.0,9380
Tennessee Technological University,13962.0,10314
Angelo State University,14244.0,5425
Amarillo College,4799.0,10336
The University of Tennessee-Martin,7732.0,6677
Eastfield College,4114.0,15112
El Centro College,4495.0,10549
Cedar Valley College,4920.0,6759
University of the Incarnate Word,20821.0,6496
Texas A & M International University,9087.0,6741
Northwest Vista College,6411.0,15797
Kennesaw State University,17675.0,29552
Moreno Valley College,7252.0,8731
Independence University,27614.0,4241
Ultimate Medical Academy-Tampa,23172.0,20645
Arizona State University-Downtown Phoenix,12135.0,9150
California State University-Channel Islands,13371.0,5677
Florida Gulf Coast University,16108.0,13345
South Plains College,5494.0,9661
The University of Texas Rio Grande Valley,4250.0,17858
San Jacinto Community College,7909.0,27911
Tarleton State University,15364.0,10217
McLennan Community College,6253.0,8294
St Philip's College,6120.0,10514
Richland College,3438.0,19343
North Lake College,4485.0,10744
University of Wisconsin Colleges,8951.0,14045
Georgia State University-Perimeter College,6571.0,21371
Milwaukee Area Technical College,9532.0,16712
Palo Alto College,6195.0,8376
Eastern Washington University,13145.0,12411
Central Washington University,15170.0,10964
Green River College,9588.0,7915
University of Wisconsin-Madison,19378.0,30694
University of Wisconsin-Whitewater,14107.0,10988
University of Wisconsin-Stout,15648.0,8279
Universidad del Este,9325.0,12198
University of Puerto Rico-Rio Piedras,3171.0,12362
Stanford University,13857.0,7018
Gateway Technical College,9365.0,7410
Universidad Metropolitana,9639.0,11529
Paradise Valley Community College,7246.0,8909
St Charles Community College,3383.0,7151
NorthWest Arkansas Community College,6824.0,8098
Pennsylvania College of Technology,23431.0,5623
Christopher Newport University,22618.0,5096
Virginia Polytechnic Institute and State University,20172.0,24247
Weatherford College,6563.0,5613
College of William and Mary,18300.0,6299
Northern Virginia Community College,9565.0,51487
Washington State University,17878.0,23867
University of Utah,13969.0,23895
Blinn College,11957.0,19479
The University of Texas at Arlington,14059.0,29883
The University of Texas at El Paso,6638.0,19817
Texas State University,14676.0,32177
Dixie State University,10703.0,8570
ECPI University,19286.0,10888
Estrella Mountain Community College,7458.0,9164
South Texas College,1745.0,30180
