school.name,2015.student.demographics.age_entry,2015.student.demographics.avg_family_income,2015.student.demographics.men,2015.student.demographics.race_ethnicity.aian,2015.student.demographics.race_ethnicity.asian,2015.student.demographics.race_ethnicity.black,2015.student.demographics.race_ethnicity.hispanic,2015.student.demographics.race_ethnicity.nhpi,2015.student.demographics.race_ethnicity.two_or_more,2015.student.demographics.race_ethnicity.unknown,2015.student.demographics.race_ethnicity.white,2015.student.demographics.women
Erie Community College,23,35904,0.5067,0.0082,0.0251,0.1477,0.0522,0.0008,0.0252,0.194,0.5341,0.4933
Norco College,24,23406,0.461,0.0036,0.077,0.0607,0.5693,0.0035,0.0304,0.0039,0.2469,0.539
Middle Georgia State University,23,38425,0.4185,0.0015,0.0199,0.3608,0.0361,0.0018,0.0307,0.0036,0.5372,0.5815
DeVry University-Illinois,30,29935,0.4238,0.0057,0.034,0.2017,0.1305,0.0041,0.012,0.1308,0.473,0.5762
University of North Georgia,21,58090,0.451,0.0021,0.0283,0.0422,0.1059,0.0009,0.0266,0.0136,0.7651,0.549
Central Georgia Technical College,27,21682,0.37,0.0025,0.0088,0.5277,0.03,0.0004,0.0123,0.012,0.4018,0.63
College of Western Idaho,26,31762,0.4241,0.0121,0.022,0.0196,0.157,0.0059,0.018,0.0865,0.676,0.5759
Texas State Technical College,24,30326,0.6594,0.0043,0.007,0.0706,0.5004,0.0017,0.0016,0.0286,0.3858,0.3406
University of Phoenix-Arizona,31,23523,0.3075,0.0026,0.0084,0.1732,0.0787,0.0051,0.0778,0.3613,0.28,0.6925
Georgia Military College,25,32342,0.4032,0.0142,0.0159,0.4376,0.0633,0.0,0.0073,0.0484,0.4114,0.5968
South Louisiana Community College,24,27986,0.427,0.0046,0.0204,0.4032,0.0332,0.0005,0.02,0.027,0.4837,0.573
University of California-Merced,19,45642,0.4865,0.0022,0.2309,0.0481,0.4847,0.0074,0.0385,0.0079,0.1275,0.5135
Folsom Lake College,26,20973,0.4273,0.0085,0.0934,0.0321,0.1803,0.006,0.0639,0.0198,0.5931,0.5727
University of Arkansas,21,81636,0.4776,0.0112,0.0248,0.0479,0.076,0.0008,0.0329,0.0042,0.7722,0.5224
California State University-Fullerton,22,40798,0.4467,0.0013,0.2175,0.0194,0.4009,0.0017,0.0445,0.0374,0.2211,0.5533
American River College,26,16648,0.4703,0.0065,0.1129,0.0929,0.217,0.0091,0.0601,0.0394,0.4567,0.5297
California State University-San Bernardino,22,35737,0.3942,0.0021,0.059,0.0575,0.6083,0.0021,0.0274,0.0375,0.1409,0.6058
California State University-Chico,22,47757,0.4759,0.0057,0.0592,0.0243,0.2924,0.0016,0.0517,0.072,0.4601,0.5241
California State University-Bakersfield,22,34653,0.3901,0.0059,0.0716,0.0664,0.5438,0.001,0.0268,0.0405,0.2033,0.6099
California State University-Stanislaus,23,36608,0.3632,0.0037,0.1081,0.0224,0.4912,0.0058,0.0367,0.054,0.2444,0.6368
Azusa Pacific University,25,64353,0.3474,0.0012,0.0892,0.049,0.2907,0.0127,0.0802,0.0173,0.4375,0.6526
Cabrillo College,24,21027,0.4702,0.004,0.0351,0.0135,0.3967,0.0019,0.0488,0.0149,0.4789,0.5298
University of Alabama at Birmingham,23,50315,0.4116,0.0023,0.0595,0.2541,0.0317,0.0006,0.0389,0.0085,0.5863,0.5884
University of Alabama in Huntsville,23,55624,0.574,0.013,0.0381,0.123,0.0417,0.0,0.0201,0.03,0.7024,0.426
Mesa Community College,25,28618,0.4953,0.0386,0.0392,0.0631,0.2487,0.0049,0.0242,0.0635,0.4852,0.5047
Pima Community College,25,26097,0.4518,0.0251,0.0288,0.0506,0.4449,0.004,0.0349,0.015,0.3856,0.5482
Scottsdale Community College,26,31225,0.484,0.0584,0.0284,0.0509,0.1828,0.0044,0.0254,0.0622,0.5763,0.516
Phoenix College,26,23043,0.3608,0.0253,0.0325,0.1009,0.4794,0.0026,0.0156,0.0981,0.2396,0.6392
GateWay Community College,28,24938,0.4312,0.0396,0.0369,0.1152,0.3654,0.002,0.0151,0.0687,0.3473,0.5688
Rio Salado College,30,25656,0.3434,0.0202,0.0221,0.1206,0.2013,0.0023,0.023,0.0657,0.5353,0.6566
University of California-Santa Barbara,20,55149,0.4718,0.0013,0.192,0.0219,0.257,0.0013,0.084,0.0266,0.3454,0.5282
University of California-Berkeley,21,54357,0.4795,0.0016,0.3527,0.0212,0.1409,0.0026,0.0472,0.0277,0.2689,0.5205
California State University-East Bay,24,35283,0.3841,0.0025,0.236,0.1073,0.3139,0.0096,0.0552,0.0538,0.1614,0.6159
City College of San Francisco,27,15306,0.4641,0.0027,0.3433,0.0742,0.2378,0.0084,0.0484,0.0159,0.23,0.5359
College of the Canyons,23,26075,0.5218,0.0031,0.0776,0.0438,0.4625,0.002,0.0354,0.0058,0.3597,0.4782
De Anza College,23,23400,0.5148,0.0019,0.3491,0.0307,0.2595,0.0043,0.045,0.0063,0.1941,0.4852
Cosumnes River College,25,19830,0.4425,0.0038,0.281,0.1198,0.2485,0.0189,0.0623,0.0135,0.245,0.5575
College of the Desert,23,21234,0.4567,0.0035,0.0315,0.0287,0.6796,0.0018,0.026,0.0068,0.1981,0.5433
Evergreen Valley College,26,18480,0.4517,0.0051,0.3838,0.0267,0.4042,0.0049,0.029,0.0604,0.0743,0.5483
Cuyamaca College,29,13923,0.4605,0.0043,0.0605,0.0534,0.3179,0.0036,0.0635,0.0117,0.4804,0.5395
Grossmont College,25,18021,0.436,0.0023,0.0799,0.0583,0.3345,0.0048,0.0664,0.0077,0.4116,0.564
Fresno City College,23,18460,0.4643,0.0048,0.1413,0.058,0.5394,0.0014,0.0269,0.0114,0.2165,0.5357
Golden West College,23,20427,0.4771,0.0031,0.266,0.0188,0.3129,0.0057,0.046,0.0085,0.3174,0.5229
Irvine Valley College,24,22741,0.5109,0.0007,0.2506,0.0213,0.2522,0.002,0.0509,0.0117,0.3446,0.4891
Hartnell College,22,26530,0.5631,0.0031,0.0517,0.019,0.6476,0.0039,0.0159,0.0531,0.2043,0.4369
Pulaski Technical College,26,25913,0.3574,0.0032,0.0115,0.4828,0.0484,0.0012,0.0317,0.0184,0.4001,0.6426
Antelope Valley College,25,16179,0.4065,0.0042,0.0338,0.1826,0.4898,0.0015,0.0444,0.0098,0.2321,0.5935
University of Arkansas-Fort Smith,23,36486,0.4376,0.0249,0.0509,0.0405,0.1071,0.0009,0.0634,0.0009,0.6983,0.5624
Allan Hancock College,23,25526,0.4865,0.0057,0.039,0.0306,0.5416,0.0034,0.0335,0.0001,0.3443,0.5135
College of Alameda,26,15466,0.4417,0.0026,0.3019,0.1903,0.2197,0.0038,0.0505,0.053,0.1413,0.5583
San Diego State University,22,54299,0.4549,0.0028,0.1385,0.0387,0.3131,0.0028,0.0651,0.0422,0.3414,0.5451
Riverside City College,23,22138,0.4348,0.0033,0.0574,0.0787,0.594,0.0034,0.0311,0.0053,0.2089,0.5652
University of Colorado Boulder,20,94560,0.5552,0.0028,0.0542,0.0164,0.1062,0.0006,0.046,0.0079,0.7059,0.4448
Broward College,24,24836,0.4119,0.0017,0.0281,0.346,0.3491,0.0027,0.0181,0.037,0.1816,0.5881
Embry-Riddle Aeronautical University-Daytona Beach,25,55113,0.8115,0.0034,0.044,0.0608,0.0425,0.0021,0.0783,0.0905,0.5363,0.1885
Eastern Florida State College,25,28498,0.4198,0.0056,0.0223,0.1189,0.1239,0.0022,0.0258,0.017,0.6756,0.5802
College of Central Florida,24,26869,0.376,0.0049,0.0184,0.1325,0.1529,0.0033,0.0385,0.0337,0.6,0.624
Metropolitan State University of Denver,25,44948,0.467,0.0062,0.0379,0.0619,0.2238,0.003,0.0424,0.0364,0.5835,0.533
Front Range Community College,26,40291,0.424,0.0078,0.0366,0.0169,0.1467,0.002,0.0375,0.0413,0.6897,0.576
Gateway Community College,25,26945,0.4262,0.0012,0.0336,0.2563,0.2475,0.0013,0.0251,0.0415,0.3862,0.5738
Delaware Technical Community College-Terry,25,32676,0.3806,0.0043,0.0298,0.2525,0.0995,0.0016,0.0316,0.0163,0.5489,0.6194
Yale University,19,86224,0.5116,0.0062,0.1729,0.068,0.1143,0.0004,0.0564,0.0107,0.4651,0.4884
University of San Francisco,21,81757,0.3798,0.0027,0.2086,0.0341,0.1947,0.006,0.0691,0.0201,0.2703,0.6202
San Joaquin Delta College,24,20214,0.4248,0.0036,0.1654,0.0861,0.4498,0.0057,0.0535,0.0054,0.2289,0.5752
San Joaquin Valley College-Visalia,26,22960,0.3038,0.0084,0.046,0.0817,0.5327,0.0084,0.0532,0.0236,0.246,0.6962
Saddleback College,25,23149,0.4652,0.0029,0.0954,0.0216,0.251,0.0026,0.0526,0.012,0.5364,0.5348
Loyola Marymount University,20,103342,0.4352,0.0015,0.106,0.063,0.2119,0.0016,0.0803,0.0015,0.4489,0.5648
San Diego Miramar College,25,21190,0.5698,0.0032,0.2133,0.0487,0.2512,0.009,0.0601,0.0248,0.3866,0.4302
MiraCosta College,25,22234,0.4333,0.0028,0.0606,0.032,0.3554,0.0041,0.0672,0.0184,0.4425,0.5667
Modesto Junior College,24,19675,0.4244,0.0059,0.0592,0.035,0.4746,0.0097,0.0143,0.0184,0.3817,0.5756
Arapahoe Community College,27,41521,0.4391,0.0069,0.0299,0.0332,0.1761,0.0026,0.0335,0.066,0.6394,0.5609
Santa Monica College,22,20053,0.4717,0.0018,0.1005,0.09,0.3816,0.0024,0.0386,0.0106,0.2602,0.5283
Victor Valley College,25,17554,0.4153,0.0028,0.0244,0.1169,0.5068,0.0032,0.0484,0.0051,0.2918,0.5847
Santa Rosa Junior College,24,22007,0.4487,0.0075,0.044,0.0236,0.3071,0.0034,0.0531,0.0058,0.5477,0.5513
College of San Mateo,23,23418,0.5149,0.0014,0.2416,0.0302,0.2987,0.0225,0.056,0.0135,0.2804,0.4851
Community College of Denver,26,27140,0.4305,0.0107,0.0564,0.1338,0.2531,0.0027,0.0488,0.0451,0.3789,0.5695
Central Connecticut State University,22,62099,0.5305,0.0013,0.0373,0.1155,0.1325,0.0007,0.0265,0.025,0.6478,0.4695
Sacred Heart University,20,117396,0.359,0.0014,0.0227,0.0388,0.0846,0.0008,0.0153,0.1153,0.7091,0.641
Post University,31,24189,0.3976,0.0044,0.0112,0.2105,0.0682,0.0032,0.0433,0.2609,0.3959,0.6024
Merritt College,28,15410,0.3403,0.0048,0.153,0.285,0.2466,0.0053,0.0481,0.0619,0.182,0.6597
State College of Florida-Manatee-Sarasota,24,28756,0.3906,0.0036,0.0221,0.0933,0.1513,0.0012,0.0239,0.0305,0.6553,0.6094
University of South Florida-Main Campus,22,48190,0.4533,0.0018,0.0636,0.1068,0.2078,0.0024,0.0378,0.0141,0.5137,0.5467
St Petersburg College,26,28518,0.3953,0.0036,0.0328,0.145,0.1254,0.0022,0.0253,0.0218,0.6367,0.6047
Santa Fe College,22,34034,0.4581,0.0044,0.0285,0.1564,0.1648,0.0019,0.0346,0.0117,0.578,0.5419
The University of West Florida,24,46413,0.4327,0.0046,0.0308,0.1323,0.0918,0.0031,0.0496,0.0184,0.6526,0.5673
Valencia College,22,29166,0.4549,0.0032,0.0442,0.1817,0.3628,0.0047,0.0255,0.0519,0.2957,0.5451
Georgia State University,22,37857,0.4112,0.0016,0.1235,0.4197,0.0966,0.0005,0.0502,0.0259,0.2636,0.5888
Brigham Young University-Idaho,23,52379,0.4245,0.0031,0.0101,0.0053,0.0312,0.0053,0.0591,0.0264,0.7889,0.5755
Southwestern Illinois College,24,28770,0.4468,0.002,0.0087,0.2062,0.0431,0.0024,0.0484,0.0373,0.6518,0.5532
University of Idaho,21,56663,0.5348,0.0061,0.013,0.0146,0.1006,0.0024,0.0385,0.0176,0.7585,0.4652
Pensacola State College,25,26189,0.3965,0.008,0.0291,0.1648,0.0644,0.0034,0.0539,0.0165,0.6557,0.6035
Polk State College,25,27172,0.3722,0.0013,0.0222,0.1709,0.201,0.0006,0.0247,0.0358,0.5318,0.6278
Elgin Community College,23,35425,0.4802,0.0034,0.0594,0.0454,0.34,0.0009,0.031,0.0299,0.4871,0.5198
City Colleges of Chicago-Wilbur Wright College,23,23384,0.4313,0.0017,0.064,0.0937,0.5626,0.0031,0.0164,0.0278,0.219,0.5687
Armstrong State University,23,45650,0.3339,0.0023,0.0346,0.2527,0.0715,0.0027,0.0472,0.0036,0.5702,0.6661
Columbus State University,23,44928,0.4006,0.0034,0.0228,0.3702,0.0556,0.0025,0.0206,0.0004,0.5143,0.5994
University of Illinois at Urbana-Champaign,19,84770,0.5584,0.0006,0.1734,0.0551,0.0962,0.0007,0.0288,0.0059,0.4816,0.4416
Illinois Central College,23,33539,0.4518,0.0041,0.0213,0.1194,0.0447,0.0014,0.0284,0.0027,0.7779,0.5482
John C Calhoun State Community College,24,34578,0.4483,0.0161,0.0296,0.1864,0.0461,0.0004,0.0424,0.0121,0.6595,0.5517
Jacksonville State University,23,45970,0.4312,0.0075,0.0059,0.2214,0.0124,0.0006,0.0,0.0281,0.6981,0.5688
University of South Alabama,22,49836,0.4405,0.0067,0.0324,0.2432,0.0279,0.0013,0.0279,0.0203,0.5896,0.5595
University of Arizona,21,69179,0.4849,0.0116,0.0566,0.038,0.2525,0.0027,0.0433,0.0083,0.5227,0.5151
Central Arizona College,26,27898,0.3709,0.0501,0.0214,0.0701,0.2908,0.0047,0.0397,0.0894,0.4287,0.6291
Western Illinois University,21,53014,0.4969,0.0014,0.0093,0.1948,0.1067,0.001,0.0249,0.0241,0.6214,0.5031
Ivy Tech Community College,26,28580,0.4153,0.004,0.0151,0.1419,0.0375,0.0013,0.0289,0.0418,0.7177,0.5847
Indiana Wesleyan University-Marion,31,45327,0.3239,0.0026,0.0063,0.1873,0.0431,0.0009,0.0246,0.0056,0.7264,0.6761
Northern Illinois University,21,54777,0.5086,0.0015,0.0501,0.1596,0.1542,0.0013,0.0348,0.0084,0.5718,0.4914
Des Moines Area Community College,24,44922,0.4472,0.0039,0.0352,0.0774,0.0739,0.001,0.0247,0.0332,0.7385,0.5528
University of Iowa,21,84200,0.4783,0.0014,0.0361,0.0332,0.0746,0.001,0.0259,0.0396,0.673,0.5217
University of Massachusetts-Boston,23,46049,0.4505,0.0018,0.1226,0.1579,0.1354,0.0002,0.0265,0.0695,0.3623,0.5495
University of Maryland-University College,29,35490,0.5356,0.0051,0.0434,0.2709,0.1174,0.0082,0.0394,0.0877,0.4155,0.4644
Holyoke Community College,24,31214,0.39,0.005,0.0227,0.0626,0.2408,0.0007,0.0285,0.0383,0.5944,0.61
Montgomery College,23,33462,0.5161,0.0029,0.1102,0.2642,0.232,0.0033,0.0287,0.0013,0.2644,0.4839
Prince George's Community College,25,31753,0.3854,0.015,0.0409,0.7177,0.1081,0.0001,0.0018,0.0465,0.0466,0.6146
Anne Arundel Community College,24,38019,0.4092,0.0044,0.0395,0.1804,0.0688,0.0029,0.0383,0.0674,0.5874,0.5908
Wichita State University,23,52841,0.4711,0.0074,0.0718,0.0564,0.1063,0.0008,0.0373,0.0265,0.6292,0.5289
Butler Community College,24,37297,0.4178,0.0106,0.0464,0.098,0.1297,0.0,0.0,0.0777,0.6162,0.5822
Jefferson Community and Technical College,25,25257,0.4272,0.0029,0.0333,0.2295,0.0667,0.0015,0.0309,0.0132,0.6156,0.5728
Murray State University,22,54050,0.4177,0.0016,0.0076,0.075,0.0196,0.0008,0.0218,0.0205,0.8113,0.5823
Grand Rapids Community College,23,38644,0.4864,0.0066,0.038,0.0915,0.1117,0.0006,0.0222,0.0396,0.6876,0.5136
Grand Valley State University,20,73857,0.414,0.0038,0.0205,0.0521,0.048,0.0004,0.0335,0.0031,0.8258,0.586
Central Michigan University,21,70547,0.4382,0.0067,0.0104,0.0792,0.0383,0.0005,0.0295,0.0281,0.7876,0.5618
Northern Essex Community College,23,32970,0.3887,0.0018,0.0215,0.0381,0.4125,0.0042,0.0103,0.01,0.4952,0.6113
Worcester State University,22,68694,0.4112,0.0034,0.0396,0.0751,0.0923,0.0006,0.0297,0.0414,0.7102,0.5888
Oakland Community College,25,26051,0.4326,0.0046,0.0362,0.2179,0.0317,0.0019,0.0301,0.0311,0.6036,0.5674
Macomb Community College,24,28819,0.4785,0.0054,0.0402,0.1178,0.026,0.0011,0.0179,0.0855,0.6872,0.5215
Oakland University,22,59345,0.4255,0.0033,0.0428,0.0764,0.0312,0.0012,0.0303,0.0409,0.7556,0.5745
Moraine Valley Community College,23,30952,0.4854,0.0031,0.0234,0.085,0.2317,0.0004,0.0194,0.0756,0.5368,0.5146
Triton College,23,26652,0.4661,0.0025,0.0273,0.1675,0.3762,0.0,0.0161,0.1047,0.3043,0.5339
Frederick Community College,25,41984,0.4455,0.004,0.0466,0.1394,0.1144,0.0014,0.0409,0.0026,0.6446,0.5545
Boston University,19,105573,0.393,0.0007,0.1356,0.0377,0.1079,0.0013,0.0359,0.0456,0.4304,0.607
Boston College,19,129669,0.472,0.0007,0.0975,0.0404,0.0968,0.0002,0.0301,0.0575,0.6171,0.528
Westfield State University,21,77842,0.4627,0.0024,0.0152,0.044,0.0859,0.0005,0.0443,0.031,0.7732,0.5373
Suffolk University,20,81191,0.4615,0.0019,0.0817,0.0594,0.1143,0.0006,0.0209,0.0861,0.4021,0.5385
Schoolcraft College,26,29124,0.4646,0.0076,0.0358,0.1466,0.041,0.0012,0.0263,0.0659,0.6623,0.5354
University of Southern Mississippi,23,41315,0.3636,0.0037,0.0121,0.3031,0.0314,0.0009,0.021,0.0078,0.6091,0.6364
Normandale Community College,23,43953,0.4572,0.0046,0.0845,0.1581,0.102,0.0013,0.0525,0.0114,0.5745,0.5428
Century College,24,40224,0.4494,0.0046,0.1766,0.1057,0.0755,0.0012,0.0449,0.0071,0.5665,0.5506
Northwest Mississippi Community College,23,29948,0.3842,0.0021,0.0105,0.3524,0.0202,0.0006,0.0065,0.0023,0.6055,0.6158
Missouri State University-Springfield,22,60649,0.4219,0.0049,0.0143,0.0474,0.0345,0.0013,0.0325,0.0098,0.8085,0.5781
Metropolitan Community College-Kansas City,24,27859,0.4145,0.0032,0.0276,0.1585,0.0996,0.0031,0.0658,0.0037,0.6303,0.5855
Missouri Southern State University,23,42425,0.4204,0.0321,0.0181,0.0627,0.0458,0.0017,0.0127,0.0265,0.7724,0.5796
Ozarks Technical Community College,25,27152,0.4129,0.0048,0.0126,0.0287,0.0452,0.0015,0.0511,0.0171,0.8389,0.5871
Wayne County Community College District,28,12742,0.3542,0.0033,0.0073,0.5818,0.0192,0.0008,0.1024,0.0657,0.2159,0.6458
University of Minnesota-Duluth,20,88656,0.5469,0.0047,0.0311,0.024,0.0263,0.0004,0.0282,0.0087,0.8582,0.4531
University of New Hampshire-Main Campus,20,99680,0.4584,0.002,0.0216,0.013,0.0332,0.0002,0.017,0.0822,0.8076,0.5416
Atlantic Cape Community College,24,29102,0.3995,0.0059,0.0739,0.1499,0.1798,0.0034,0.0153,0.0876,0.4745,0.6005
Truman State University,19,80812,0.4206,0.0008,0.0225,0.0371,0.0263,0.0008,0.0287,0.0166,0.7989,0.5794
Bellevue University,31,43203,0.4925,0.0055,0.0135,0.0903,0.2033,0.0022,0.019,0.1393,0.4982,0.5075
East Carolina University,22,66115,0.4239,0.0066,0.0283,0.16,0.0631,0.0013,0.0303,0.0195,0.6868,0.5761
University at Buffalo,20,64808,0.5584,0.0022,0.1427,0.0733,0.064,0.001,0.0241,0.0536,0.477,0.4416
North Carolina A & T State University,21,44445,0.4548,0.0032,0.0076,0.8396,0.0281,0.0002,0.0354,0.024,0.0467,0.5452
University of North Carolina at Greensboro,22,49385,0.338,0.0034,0.0486,0.2779,0.0771,0.0013,0.0442,0.0047,0.5238,0.662
North Carolina State University at Raleigh,20,78488,0.5524,0.0036,0.0513,0.0626,0.0465,0.0007,0.0386,0.017,0.7382,0.4476
University of North Carolina Wilmington,22,69079,0.3856,0.0052,0.0221,0.0489,0.0671,0.0009,0.0347,0.0344,0.7812,0.6144
Pitt Community College,26,22995,0.4145,0.0086,0.0087,0.3891,0.0529,0.0011,0.0161,0.115,0.3911,0.5855
Pace University-New York,20,77265,0.4033,0.0025,0.0814,0.105,0.1442,0.0011,0.0373,0.0302,0.5042,0.5967
Monroe College,23,26136,0.3691,0.004,0.011,0.4407,0.4013,0.0038,0.0,0.0154,0.0239,0.6309
The New School,22,68841,0.2687,0.0007,0.0946,0.0589,0.1174,0.001,0.0358,0.0401,0.3272,0.7313
Rensselaer Polytechnic Institute,19,112162,0.6897,0.0014,0.1012,0.0308,0.0813,0.0002,0.0695,0.0187,0.5907,0.3103
Cleveland State University,24,46468,0.4717,0.0027,0.0311,0.1739,0.0516,0.0015,0.0316,0.0172,0.6376,0.5283
Lorain County Community College,25,29111,0.3753,0.0056,0.0095,0.1024,0.1014,0.0014,0.0329,0.0106,0.7253,0.6247
SUNY Buffalo State,21,46294,0.432,0.0041,0.0272,0.2814,0.1218,0.001,0.033,0.0016,0.5138,0.568
St John's University-New York,19,70806,0.4486,0.0022,0.1719,0.1866,0.1219,0.0043,0.0469,0.0706,0.3423,0.5514
Orange County Community College,22,45781,0.4126,0.003,0.0245,0.1188,0.2942,0.0011,0.0252,0.0017,0.5291,0.5874
Farmingdale State College,22,61423,0.5772,0.002,0.0713,0.1013,0.1676,0.0039,0.0203,0.003,0.6046,0.4228
